Case #,Date,Time,Involved,Name/Description,Gender,Height,Weight (lbs),Hair Colour,Emergency Services Required,Call initiated to: Police (911),Call initiated to: Ambulance  (911),Call initiated to: Fire (911),Attended By: Police,Attended By: Ambulance,Attended By:Fire,Vehicle ID,Incident Teyp(S):  Medical,Incident Teyp(S):  Injury,Incident Teyp(S):  Drug/Alcohol,Incident Teyp(S): Violence,Incident Teyp(S): Staff Abuse,Incident Teyp(S):  Refuse to leave,Incident Teyp(S): Property Damage,Incident Teyp(S): Other (Type),First Aid required,Overdose,Naloxone,Event Location: Drop In,Event Location: Lobby,Event Location: Courtyard,Event Location: Kitchen,Event Location: Dinning Area,Event Location: Chapel,Event Location: Hygiene,Event Location: Games room,Event Location: Shipping&Reveiving Area ,Event Location: Common Housing Area,Event Location: In Room,Event Location: Perimeter,Event Location:Snack Bar,Other: (Enter)
8,Jan-28-2018,13:50:00,A1,R124,0,,,,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Jan-28-2018,19:17:00,A1,R9,1,aver,aver,dark brown,1,1,0,0,0,0,0,,0,0,1,0,0,1,0,,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,
9,Jan-28-2018,18:20:00,A1,R125,0,av,av,,1,0,1,0,0,1,0,63447,1,0,0,0,0,0,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
154,Jan-25-2018,17:25:00,A1,R66,0,6'3,170,black,1,1,,,0,,,,0,0,0,0,0,1,0,,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,
155,Jan-25-2018,19:30:00,A1,R84,0,6'0,150,,1,,1,1,,1,1,62954,1,0,1,0,0,0,0,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,
158,Jan-26-2018,11:20:00,A2,R40,0,5'8,120,brown,1,,1,,,1,,63040/63318,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
159,Jan-26-2018,13:15:00,A1/A3,R41,0,5'10,170,long &red,0,,,,,,,,0,0,1,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,
160,Jan-26-2018,03:40:00,A1,,1,5'0,110,black,1,1,,,1,,,VI5560,0,0,0,0,0,1,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,
161,Jan-26-2018,17:20:00,A1,R2,0,5'9,150,grey,1,,,1,,,,VI5597,0,0,1,0,0,1,0,,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,
162,Jan-26-2018,18:45:00,A1,R71,0,,200,Brown,1,,1,,,1,,63227,1,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
163,Jan-26-2018,19:45:00,A1,R122,0,,,,1,,1,,1,1,,VI5565,0,0,0,0,0,0,0,Pepper Sprayed,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,off site
164,Jan-27-2018,12:38:00,A1,R21,1,,,,1,,1,,,1,,63444,0,0,1,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,POD
165,Jan-27-2018,15:22:00,A1,R13,0,6'0,150,brown,1,,1,,,1,1,63244/E138,1,0,0,0,0,0,0,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,POD
2,Jan-01-2018,17:00:00,A1,R61,0,6,190,Blonde ,0,,,,,,,,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
3,Jan-01-2018,18:00:00,A1,R19,,,,,,,,,,,,,0,0,0,0,0,0,1,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,
4,Jan-02-2017,08:50:00,A1,R15,0,"4'9""",160,Brown,0,1,,,1,,,V15595,0,0,0,0,1,1,0,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,Pod
5,Jan-02-2018,11:30:00,A2,R40,,,,,,,1,,1,1,1,"63318,E345",1,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,
6,Jan-02-2018,13:19:00,A2,R91,1,,,,,,1,,,,,62932,1,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,
7,Jan-02-2018,13:15:00,A1,R43,0,6,180,Red/blonde,,1,,,,,,,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
8,Jan-07-2018,13:59:00,A1,R75,0,,,,,1,,,,,,,0,0,0,0,0,1,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,
9,Jan-02-2018,13:59:00,A1,R67,0,,,,,1,,,,,,,0,0,0,0,0,1,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,
2,Jan-30-2018,20:10:00,A1,R34,1,,,,1,1,0,0,,,,,0,0,0,0,0,1,0,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,
3,Jan-30-2018,13:55:00,A1,R127,,,,,,,,,,,,Foos Pornol,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,conserves only
4,Jan-30-2018,15:30:00,A1,R71,1,,,,,,,,,,,,0,0,1,0,0,1,0,,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,
5,Jan-30-2018,17:15:00,A1,R63,1,5'8,150,Black,1,0,1,0,,62805,,,1,0,1,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
2,jan-14-2018,07:30:00,A1,R42,0,6'1,,red,0,,,,1,,,,0,0,0,0,1,1,0,FM obuse,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
3,jan-14-2018,15:05:00,A2,R53 ,1,,,,1,,1,,,1,1,63444/62919 /E1,1,0,0,0,0,0,0,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
4,jan-14-2018,18:25:00,A1,R101,0,5'9,160,,0,,,,,,,,0,0,1,0,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
5,jan-14-2018,19:35:00,A1,R11,0,6'0,260,brown,1,,1,,,1,,63227,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
6,jan-14-2018,21:55:00,A1,R102,0,,,,1,,,,,,,,0,0,0,0,0,0,0,weitness check,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,back of produce
